Word,Description,Description OK,Description (updated),Description(Final),Example(Final),Alternate spellings,Remarks (if applicable),POS,Pronun,Origin,License,Reference,
taufu fa,"Sure, I'd be happy to help! Here's a dictionary entry for ""taufu fa"":\n\n- Word: Taufu fa\n- Pronunciation: ""Tau-foo fa""\n- Description: Taufu fa is a popular dessert in Singapore and Malaysia made from silken tofu (taufu) that is served in a warm sweet syrup (fa). It is similar to a Chinese dessert called douhua, but with a sweeter, thicker syrup. Taufu fa is often served with a sprinkle of chopped peanuts or gingko nuts as a topping.\n- Alternate spellings: Some common alternate spellings of taufu fa include ""tau huay"" and ""tau foo fa"".",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
taugeh,"Sure! Here's an entry for 'taugeh':\n\nWord: taugeh (pronounced as ""tau-gay"")\n\nDefinition: Taugeh is a Malay or Indonesian word that means ""bean sprouts"". It refers to the young, newly sprouted shoots of mung beans. Bean sprouts are a popular ingredient in many Southeast Asian dishes and are added to stir-fries, soups, and salads for their crunchy texture.\n\nAlternate spellings: tauge (used in some dialects)\n\nExample: ""I added some taugeh to my char kway teow for extra crunch and flavor.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tauhu,"Sure, here's an entry for 'tauhu' in Singlish:\n\nWord: Tauhu\nPronunciation: tao-hoo / taʊhuː\nAlternate Spellings: Tofu, Tahu\n\nDefinition:\nTauhu is the Singlish term for tofu, a protein-rich food item made from soybeans. It usually comes in a white block form and can be prepared in a variety of ways, such as stir-frying, grilling, boiling or frying. \n\nExample:\n""I feel like having some tauhu today. Let's make some tofu stir-fry for dinner.""\n\nNote: The term tauhu is commonly used in Singapore and Malaysia and may be spelled as tofu in English-based contexts. In some parts of Indonesia, it is spelled as tahu.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tauhu goreng,"Sure, here's your Singlish dictionary entry for 'tauhu goreng':\n\nTAUHU GORENG (noun) - A dish originating from Indonesian and Malay cuisine consisting of deep-fried tofu served with a sweet and spicy sauce. Commonly found in hawker centers and food courts in Singapore.\n\nAlternate spellings: Tahu goreng\n\nPronunciation: tao - hoo goh - reng\n\nExample: ""Let's order some tauhu goreng from the nearby hawker center for a quick snack.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
taupok,"Sure thing! Here's the dictionary entry for 'taupok':\n\ntaupok /tau-pok/ (noun): A type of Chinese snack that is made of deep-fried dough and filled with a mixture of minced pork and vegetables. It is a popular food item in Singapore.\n\nAlternate spellings: tau pok, tao pok\n\nExample sentence: ""I always like to buy some hot and crispy taupok from the hawker center.""\n\nNote: The word 'taupok' is commonly used in Singlish and is derived from the Hokkien dialect of Chinese.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tauyu,"Sure, here's the dictionary entry for ""tauyu"":\n\n**Word:** Tauyu\n\n**Pronunciation:** tau-yu\n\n**Definition:** \n\n1. A Hokkien term meaning soy sauce. It is a savory and dark liquid condiment made from fermented soybeans, roasted grain or barley, and salt. \n\n2. In Singlish, ""tauyu"" can also be used as a slang term to describe someone who is stingy or thrifty in spending money, often to the point of being miserly.\n\n**Example:**\n\n1. ""Can you pass me the tauyu? I want to add some to my noodles."" \n\n2. ""Why are you so tauyu, always trying to bargain and pay less for everything?""\n\n**Alternative spelling:** Dao yu (using Mandarin romanization)\n\nNote: It is important to note that the use of ""tauyu"" as a slang term is considered informal and may not be suitable for some situations or settings.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tauyu bak,"Sure, I'd be happy to help!\n\nThe Singlish word ""tauyu bak"" refers to braised pork belly, which is a popular dish in Singaporean and Malaysian cuisine. It is characterized by its tender meat, rich flavor, and slightly sweet and savory sauce. The dish is typically simmered for several hours in a mixture of soy sauce, sugar, garlic, and other spices until the pork becomes melt-in-your-mouth tender.\n\nThe pronunciation of ""tauyu bak"" is ""tao-yew bahk"" with the stress on the second syllable of both words.\n\nThere are a few alternate spellings of the word ""tauyu bak"", including ""tau yew bak"" and ""tau you bak"". However, the most commonly used spelling in Singapore is ""tau yu bak"".\n\nI hope this helps you with your Singlish dictionary!",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
taxi uncle,"Word: Taxi Uncle\n\nPronunciation: /ˈtæksiʌŋkəl/\n\nAlternate spellings: None\n\nDefinition:\nTaxi Uncle refers to a middle-aged or elderly male taxi driver in Singapore. The term ""uncle"" is commonly used in Singlish to respectfully address an older male figure. Taxi Uncles are known for their friendly and chatty nature, often engaging passengers in casual conversations during the ride.\n\nExample:\nA: ""I took a taxi yesterday and the Taxi Uncle was so friendly!""\nB: ""Yeah, they're usually quite chatty, sharing stories about their experiences.""\n\nNote:\nThe term ""Uncle"" is used as a form of respect in Singlish to address middle-aged or older men, regardless of familial relation. It is commonly used in various contexts to show politeness and familiarity.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
teh,"Sure, I can help with that. Here's the dictionary entry for ""teh"":\n\nWord: Teh\nMeaning: Teh is a type of tea that is commonly found in Singapore and Malaysia. It is made from a blend of strong tea and condensed milk, giving it a sweet and creamy taste. It is usually served hot, although it can also be enjoyed cold.\n\nPronunciation: Teh is pronounced like ""tay"" with a short ""e"" sound, followed by a glottal stop. The glottal stop is a brief pause or catch in the voice before the ""h"" sound at the end of the word.\n\nAlternate spellings: Some people may spell ""teh"" as ""tei"" or ""tey,"" but these variations are less common.\n\nI hope that helps! Let me know if you need any more information.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Teh,"Word: Teh\n\nPronunciation: teh\n\nAlternate spellings: \n\n1. Tea (conventional spelling)\n\nDefinition:\nTeh is a term commonly used in Singlish to refer to tea, specifically teh tarik, a popular milk tea found in Southeast Asia. The word 'teh' is borrowed from Hokkien, a Chinese dialect widely spoken in Singapore, Malaysia, and parts of Indonesia. This term has become an integral part of the Singlish vocabulary and is used to order a hot cup of milk tea, often with condensed milk and strong tea leaves.\n\nExample:\n""I'll have a teh peng, please."" (I would like a iced tea with milk, please)\n\nNote: Teh is often used as part of other Singlish terms such as teh-o (tea without milk) and teh-c (tea with evaporated milk) to specify the type of tea desired.",Yes,,"Tea, usually red or black.","In the afternoons, I drink teh instead of coffee.",,,N,teI,Hokkien,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,
teh alia,"Sure, here's the dictionary entry for ""teh alia"":\n\nTeh Alia [tay ah-lee-ya], also spelled ""teh halia"" or ""teh halibut,"" is a popular beverage in Singapore made with brewed tea, sweetened condensed milk and ginger. The addition of ginger in teh alia gives it a spicy kick, making it a perfect warm drink for a cold, rainy day. It is commonly available at coffee shops and hawker centers in Singapore and is enjoyed by locals and tourists alike.\n\nExample usage: ""I love having a cup of teh alia with my breakfast every morning.""\n\nNote: ""Teh"" means ""tea"" in Malay, and ""alia"" is derived from the Malay word ""halia,"" which means ginger. Therefore, ""teh alia"" can be translated to ""ginger tea"" in English.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh halia,"Sure, here's a dictionary entry for ""teh halia"":\n\nWord: Teh Halia (noun)\n\nPronunciation: tay-ha-lee-ya\n\nAlternate Spellings: Teh Halia, Tae Halia\n\nDefinition: A hot tea beverage commonly found in Singaporean and Malaysian cuisine. It is made by mixing black tea with ginger and sweet condensed milk. It is commonly known for its spicy, fragrant taste, and is often consumed as a comforting beverage during rainy or cold weather. ""Teh"" is the Malay word for tea, and ""halia"" is the Malay word for ginger.\n\nExample: ""Let's go to the hawker center and grab some teh halia to warm up on this chilly night.""\n\nI hope that helps! Let me know if you'd like me to provide any more definitions.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh kah tai,"Sure! Here's the dictionary entry for ""teh kah tai"":\n\nWord: Teh kah tai\nPronunciation: ""tay-kah-tie""\nAlternate Spelling(s): None.\n\nDefinition:\n""Teh kah tai"" is a term used colloquially in Singapore to describe a cup of hot tea (teh) that is very strong (kah) and unsweetened (tai). It's often ordered by those who prefer a strong, bitter tea, and is a popular beverage among older generations in Singapore. \n\nExample:\n""Uncle, buey pai (can you please) make me a teh kah tai, very strong ah!"" \n\nNote: The pronunciation of this Singlish phrase might vary slightly depending on the speaker's accent, but ""tay-kah-tie"" is the most commonly accepted way of saying it.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh kosong,"Sure, below is the dictionary entry for ""teh kosong"":\n \n\n* **Word:** Teh kosong\n* **Part of Speech:** Noun\n* **Pronunciation:** tay koh-song\n* **Meaning:** Teh kosong is a beverage commonly found in hawker centres and coffee shops in Singapore. It is made with tea and served with no sugar. ""Teh"" means tea in Malay while ""kosong"" means zero, hence the term ""teh kosong"" refers to tea without sugar. It is a popular drink among those who prefer to have their tea bitter or for those who are watching their sugar intake. \n* **Alternate Spellings:** None\n\nExample: \n- ""Uncle, can I have a teh kosong and a kaya toast, please?""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh peng,"Sure thing! \n\nTeh peng is a popular beverage in Singapore, made by mixing black tea with evaporated milk and sugar, and then served over ice. It is commonly enjoyed during hot weather.\n\nPronunciation: teh-peng (teh rhymes with 'day')\n\nAlternate spellings: teh bing (bing means ice in Hokkien, a Chinese dialect commonly spoken in Singapore)\n\nExample sentence: ""I'm feeling so hot, let's go grab a cup of teh peng to cool down.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh poh,"Sure, here's a dictionary entry for ""teh poh"":\n\nDefinition: ""Teh poh"" is a Singaporean term used to refer to a senior lady or an elderly woman. It is a respectful way to address or refer to an older woman, especially those who are seen as wise and knowledgeable due to their life experiences. It can also be used as a term of endearment for grandmothers.\n\nPronunciation: ""Tay-poh""\n\nAlternate spellings: ""Teh por"", ""teh porh""\n\nExample:\n1. ""Have you met my teh poh? She is such a lovely woman.""\n2. ""I always go to the market with my teh poh. She knows all the best stalls for fresh produce.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
"teh see, teh si","Sure, here's the dictionary entry for “teh see” or “teh si”:\n\nWord: Teh See/Teh Si\n\nPronunciation: TAY-see / TAY-see\n\nDefinition:\nTeh See (or Teh Si) is a popular Singaporean beverage also known as “milk tea”. It is prepared by boiling tea leaves with sugar and evaporated milk, and served with added ice cubes. The flavor is both sweet and creamy and can be found at almost any coffee shop, hawker center, or food court in Singapore.\n\nAlternate spellings:\n“Teh See” and “Teh Si” are both commonly used to refer to this popular Singaporean beverage.\n\nExample:\n“Kopi O, teh see, and teh tarik are some of the most popular drinks in Singaporean cuisine.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh siew tai,"Sure, I'd be happy to help you with that! \n\nHere's the dictionary entry for ""teh siew dai"" in Singlish:\n\nWord: Teh Siew Dai\n\nPronunciation: Teh See-ow Die\n\nDefinition: ""Teh siew dai"" is a popular term used in Singapore for a cup of tea that is light on sugar. ""Teh"" means ""tea"" in Malay, while ""siew dai"" is a Hokkien phrase that translates to ""less sweet."" This combination of Malay and Hokkien languages in one term is a common characteristic of Singlish. \n\nAlternate spellings: ""Teh siew tai"" is a common misspelling of ""teh siew dai"" in Singapore due to the phonetic similarities of the words (the Hokkien ""dai"" sound is similar to the Mandarin ""tai"" sound).\n\nExample usage: ""Can I have a teh siew dai, please? I'm trying to cut down on sugar.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
"teh tarek, teh tarik","Sure, here's the dictionary entry for ""teh tarik"":\n\n**Teh Tarik**  \nPronunciation: Teh Ta-rick  \nAlternate spelling: Teh Tarek  \n\nDescription: Teh Tarik is a popular tea-based beverage in Singapore and Malaysia. It is made by vigorously pulling the tea and condensed milk mix between two containers to create a frothy layer on top. The term ""teh tarik"" literally translates to ""pulled tea"" in Malay.\n\nExample: ""Hey, let's go to the hawker center and have some Teh Tarik.""\n\nNote: Teh Tarik is often enjoyed with local food, such as satay or nasi lemak.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh tarik,"Entry: Teh Tarik\n\nPronunciation: teh ta-rik\n\nAlternate Spellings: teh tarik, teh tarak\n\nDefinition:\nTeh Tarik is a popular hot milk tea beverage commonly found in Singapore and Malaysia. The name ""teh tarik"" directly translates to ""pulled tea"" in English, referencing the unique way the drink is prepared by ""pulling"" the tea between two containers, giving it a frothy appearance. \n\nDescription:\nTeh Tarik is a blend of black tea, condensed milk, and sugar. It is typically served hot and is known for its rich, creamy taste. To prepare Teh Tarik, the tea is brewed and strained before being mixed with condensed milk. What sets Teh Tarik apart is the traditional technique used to create a smooth and frothy texture. The tea is repeatedly poured back and forth between two metal cups from a height, creating a distinct foamy layer on top. This process helps to cool the tea and infuse it with air, enhancing its aroma and taste.\n\nTeh Tarik is not only a popular beverage but also a cultural symbol in Singapore and Malaysia. It is commonly consumed at breakfast or during teatime, and it is often paired with local snacks such as kaya toast or roti prata. Many local coffee shops and hawker centers specialize in making Teh Tarik, and it is also available in instant sachets for easy preparation at home.\n\nNext time you're in Singapore or Malaysia, don't forget to try Teh Tarik for a truly authentic and delicious local experience!",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
teh-C,"Sure, here's the dictionary entry for 'teh-C':\n\nteh-C (tee-see) - noun\n\nDefinition: A popular Singaporean beverage which is a mixture of black tea, evaporated milk and sugar. The term ""C"" is an abbreviation for ""Carnation"", which refers to Carnation Milk, a brand of evaporated milk that is commonly used in teh-C. \n\nAlternate spellings: Some people may spell it as ""teh-see"" or ""teh si"".\n\nExample usage:\n- ""Kopi peng and teh-C kosong, please.""\n- ""Uncle, can I have one teh-C and two kaya toasts?""\n\nNote: The ""C"" in ""teh-C"" is pronounced like the letter ""C"" itself, rather than sounding like the word ""see"".",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh-o,"Sure, I'd be happy to help you with that!\n\nTeh-O is a commonly consumed beverage in Singapore. It is a combination of black tea and evaporated milk, served hot and sweetened with sugar to taste. The word 'teh' originated from the Malay language, meaning 'tea', while 'o' refers to the Hokkien pronunciation of 'kosong', which translates to 'zero' or 'no sugar'. Hence, the term 'teh-o' means 'tea with no sugar'.  \n\nPronunciation: TAY-oh\n\nAlternate spellings: Teh-O, Teh O, Teh'o, Teh Oo\n\nExample usage: ""Uncle, can I have one Teh-O please?""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
teh-o kosong,"Sure, here is the dictionary entry for 'teh-o kosong':\n\nWord: Teh-O Kosong\n\nPronunciation: tay-oh koh-song\n\nDefinition: Teh-O Kosong is a popular drink in Singapore and Malaysia. It is a hot tea drink made with tea and sugar, but without any milk. 'Kosong' means 'zero' or 'empty' in Malay, so the term 'Teh-O Kosong' literally means 'tea without (evaporated) milk and without sugar'. The drink is usually served in a small glass or cup with a teaspoon on the side.\n\nAlternate Spellings: Teh-O Kosong can also be spelled as 'Teh-O Kosong', 'Teh Kosong', or simply 'kosong'.\n\nExample of usage: ""Can I get a Teh-O Kosong, please?""\n\nNote: The term 'teh' originates from the Hokkien dialect as a short form for 'cha', which means 'tea' in Mandarin.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tehccino,"Entry: Tehccino\n\nPronunciation: teh-shee-noh\n\nAlternate spellings: tehschino, teh-cchino\n\nDefinition: Tehccino is a popular beverage in Singapore that combines the tastes of teh (tea) and cappuccino. It is made by mixing a shot of espresso with a small amount of frothed milk, and then adding it to teh tarik (pulled milk tea). The resulting drink has a rich and creamy texture with a strong tea flavor and a hint of coffee.\n\nExample usage: ""I'm feeling tired, do you want to grab a tehccino with me at the hawker center?""\n\nFun fact: Tehccino is often enjoyed as a morning pick-me-up and is often paired with local breakfast items such as kaya toast and soft boiled eggs.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tekan,"Sure! Here's the dictionary entry for ""tekan"" in Singlish:\n\nTEKAN (verb)\n\nPronunciation: tek-kan\n\nAlternate spelling: Tikam\n\nDefinition: To bully or oppress someone; to put unnecessary pressure on others; to dominate or exert control over others.\n\nExample:\n""Stop tekan-ing me all the time lah! I'm not your servant!""\n\nIn some contexts, the word ""tekan"" can also mean ""to guess"" or ""to randomly pick something"". For example: ""Let's tekan which restaurant to go to tonight"". This meaning is often used in a playful or lighthearted way.\n\nOverall, ""tekan"" is a versatile Singlish slang word that can be used to describe any situation where someone is unfairly oppressing or bullying others.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
tekan,"Entry: Tekan\n\nPronunciation: /tɛˈkan/ (teh-KAN)\n\nAlternate Spellings: Ta-kan, Takan\n\nDefinition:\nTekan is a commonly used Singlish term derived from the Malay language. It is a versatile verb that can convey several meanings depending on the context. The word 'tekan' is typically used in an informal setting and is often spoken in a lively or animated manner.\n\n1. (Intransitive verb) To apply pressure or exert force:\n\n   a. To press forcefully on something, often with the intention of causing discomfort or pain. Example: ""Don't tekan the button so hard, it might break.""\n\n   b. To squeeze or grip tightly. Example: ""My grandmother tekan my hand tightly when she saw me after a long time.""\n\n2. (Transitive verb) To scold or reprimand someone sternly or vehemently. Example: ""The teacher tekaned the students for not completing their homework.""\n\n3. (Transitive verb) To intimidate or bully someone persistently. Example: ""He's been tekaning me every day at school.""\n\n4. (Transitive verb) To forcefully demand or insist on something. Example: ""My boss always tekan me to work overtime.""\n\n5. (Transitive verb) To defeat or overcome an opponent convincingly. Example: ""Our team tekaned the rival team in the finals.""\n\nAdditional Information:\nThe term 'tekan' in Singlish is often used playfully, depending on the situation. It may imply a sense of assertiveness, dominance, or aggressiveness, but it is not necessarily meant to be offensive. The word 'tekan' can be adapted into other forms such as 'tekaned,' 'tekaning,' or 'tekaner' to convey different tenses or to describe someone who frequently applies pressure or asserts dominance.\n\nUsage:\n- ""I cannot tahan my sister, she always tekan me.""\n- ""That customer tekaned the salesperson until he gave a discount.""\n\nNote: Singlish is a colloquial form of English spoken in Singapore. It incorporates words from various languages, including Malay, Chinese dialects, Tamil, and other regional influences.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
tekan session,"Sure, here's the dictionary entry for ""tekan session"":\n\ntekan session (noun): a rigorous or intense questioning, interrogation, or scolding; often used in a disciplinary context or as a form of punishment.\n\nExample: ""Aiyoh, I kena tekan session from my boss today for being late to work.""\n\nPronunciation: tuh-kan seh-shun\n\nAlternate spellings: There are no commonly accepted alternate spellings for this Singlish term.\n\nNote: The word ""tekan"" comes from the Malay language and means ""to press"" or ""to push down."" In the context of a tekan session, it suggests a sense of being pushed down or scrutinized.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
telekung,"telekung\n\nPronunciation: teh-leh-koong\n\nAlternate spellings: telokong, telekong\n\nDefinition:\nTelekung refers to a traditional Malay garment worn by Muslim women during prayer or while performing religious rituals. It is a loose-fitting, full-length cloak-like attire that covers the body and head completely, including the hair. The telekung is usually made from lightweight and breathable materials to ensure comfort during prayer. It typically consists of two pieces - a long tunic or dress with wide sleeves, and a headscarf or veil that drapes over the head and shoulders, leaving the face exposed. Telekungs are available in a variety of colors and designs, ranging from plain and simple to more ornate and decorative styles.\n\nUsage:\nIn a sentence: ""She wears her telekung every time she goes to the mosque for prayers.""\n\nNote:\nThe term ""telekung"" is commonly used in Singapore and Malaysia to refer to this specific garment. In other regions or among different dialects, alternative spellings like ""telokong"" or ""telekong"" may be used to describe the same traditional attire.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
telt,"Sure, here it is:\n\nTelt (pronounced ""telt"") is a Singlish slang word used to describe someone or something that is very annoyed, irritated, or angry. It can be used to express frustration or annoyance towards a situation, person, or thing that is causing a negative emotion. The word ""telt"" is often used in a sentence as follows: ""I am so telt with this traffic jam."" \n\nThere are no alternate spellings for this word.\n\nExample:\nPerson 1: ""I am really telt with this long queue.""\nPerson 2: ""Yeah, I'm so tired of waiting too.""",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
temak,"temak (teh-mahk) - Also spelled ""teh-mak"". \n\nDefinition: \n\n1) (noun) A colloquial term used in Singapore to refer to a type of local street food. It is typically a mix of ingredients such as fish or chicken, vegetables, and noodles, all tossed together with a spicy sauce. Temak is usually sold by hawkers or at food courts, and is a popular choice among locals.\n\n2) (verb) To mix or toss ingredients together, typically in a rough manner, similar to the preparation of temak (noun).\n\nExample:\n\n1) ""Let's go to the hawker center and grab some temak for dinner.""\n\n2) ""Make sure to temak the ingredients well to get all the flavors to blend together.""",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
tembah,"Sure, here's the dictionary entry for ""tembah"":\n\nWord: Tembah\n\nPronunciation: tuhm-BAH\n\nDefinition: Tembah is a Singlish word that means to throw or toss something. It can also mean to add an extra or unexpected item to something. For example, ""Tembah a few more prawns into the laksa for me, please!"" or ""She tembah her bag onto the couch and flopped onto it."" \n\nAlternate Spellings: There are no significant alternate spellings for this particular word.\n\nNote: This word is commonly used in Singaporean English and is not commonly understood outside of Singapore.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
ten-year series,"ten-year series (noun) [ten-yi-er seer-eez]\n\nDefinition:\nA term used in Singapore to refer to a compilation of past examination papers covering a period of ten years. These series are commonly used by students as study resources to prepare for upcoming examinations. The ten-year series provides students with an extensive collection of questions from previous years, allowing them to familiarize themselves with the format, style, and content of past exams. It serves as a valuable tool for revision and practice, aiding students in their academic preparation.\n\nAlternate spellings: \n10-year series, ten year series, 10 year series\n\nExample sentence:\n""I will be using the ten-year series to study for my upcoming math exam.""\n\nNote:\nThe term ""ten-year series"" can also be abbreviated as ""TYS"" in informal conversations or written text.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
Teo,"Teo (pronounced tee-oh)\n\nDefinition:\nTeo is a (primarily Singaporean) slang term used to refer to someone who is very stingy or thrifty. It is often used to describe individuals who are reluctant to spend money or are extremely careful with their finances.\n\nExample:\n\n1. ""Eh, don't be so teo lah, just treat us to dinner la.""\nTranslation: ""Hey, don't be so stingy, just treat us to dinner.""\n\n2. ""My boss is so teo, he never gives us a salary increment!""\nTranslation: ""My boss is so thrifty, he never gives us a salary raise!""\n\nAlternate spellings: Tio",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
Teochew,"Sure, here's a dictionary entry for ""Teochew"":\n\nWord: Teochew\nPronunciation: ""Chew-chew"" or ""Teh-chew""\nAlternate spellings: Teochiu, Chaozhou, Chiuchow\n\nDefinition:\n- A Chinese dialect mainly spoken in the Chaoshan region of Guangdong province and in parts of Fujian province in China\n- Also, refers to people or things related to Teochew culture or cuisine\n- Often used in Singapore to describe Teochew-speaking or Teochew-descended persons\n\nExample usage:\n- ""My grandfather only spoke Teochew at home.""\n- ""I had a Teochew wedding dinner with lots of famous Teochew dishes like porridge and cold crabs.""\n- ""That uncle is pure Teochew lah!""\n\nNote: Teochew is one of the most widely spoken Chinese dialects in Singapore and is often heard in hawker centers, markets, and the older generation.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Teochew porridge,"Teochew porridge (pronounced as ""chew-chew puh-rij"") is a popular dish in Singapore which consists of a bowl of soft and watery rice porridge, typically served with various side dishes such as braised meats, preserved vegetables, salted eggs, and fried tofu. \n\nTeochew porridge is commonly eaten for breakfast, but it can also be enjoyed as a filling and satisfying meal any time of the day. It is known for its simple and comforting taste, and it is a popular food choice among locals and tourists alike.\n\nAlternate spellings for Teochew porridge might include: ""Teochew congee"" or ""chok"" (which means porridge in Hokkien, another dialect commonly spoken in Singapore).",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
Teoh,"Teoh (pronunciation: /teo/) is a colloquial term commonly used in Singlish, a unique local dialect spoken in Singapore. It is derived from the Hokkien dialect, a Chinese dialect widely spoken among the Chinese community in Singapore. 'Teoh' can also be spelled as 'tio' or 'tiau', depending on the speaker's preference.\n\nThe term 'Teoh' is typically used as a verb and means ""to receive"" or ""to get."" It is often used informally to describe the act of obtaining or acquiring something, whether tangible or intangible. For example, one might say, ""I teoh a free ticket to the concert,"" meaning ""I received or got a free ticket to the concert.""\n\nIn some contexts, the word 'teoh' can also be used to express the understanding or acknowledgement of a statement or situation. For instance, if someone says, ""The weather is scorching hot today,"" you can respond by saying ""Teoh!"" to indicate agreement or acknowledgement.\n\nOverall, 'Teoh' is a versatile Singlish term commonly used in casual conversations to describe receiving or getting something and to express understanding or agreement. Its alternate spellings, 'tio' and 'tiau', offer different phonetic variations but carry the same meaning and usage.",,,,,,,,,,CC BY-SA 4.0,Wiktionary,
ter kah,"Sure, here's the dictionary entry for ""ter kah"":\n\nWord: Ter Kah (also spelled as ""terka"" or ""ter-kar"")\n\nPart of Speech: Verb\n\nPronunciation:  /tur-kah/\n\nDefinition: \n\n1. To make a mistake or commit an error\n2. To fail to achieve a desired outcome or result\n3. To mess something up or cause damage accidentally\n\nExample: \n\n1. ""I ter kah and spilled my drink on the floor.""\n2. ""He ter kah his interview and didn't get the job.""\n3. ""Don't ter kah the project by missing the deadline.""\n\nNote: ""Ter kah"" is a common Singlish term used to express making a mistake or failing at something. The word originates from the Hokkien dialect and is often used in informal settings.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
terbalik,"Title: TERBALIK\n\nTerbalik \tər-ba-lik\ (Also spelled as ""terbalak"", ""terberlik"")\n\nPart of Speech: Adjective\n\nPronunciation: ter-ba-lik (tər-ba-lik)\n\nDefinition:\nTerbalik is a term commonly used in Singapore to describe something that is flipped, inverted, or turned upside down. It is derived from the Malay word ""terbalik"", which carries the same meaning. This Singlish word is often used in informal conversations or everyday situations to express a state of reversal or a complete change in position, order, or circumstances.\n\nExample Sentences:\n1. My car got terbalik in the heavy rain last night.\n2. She hung the picture frame terbalak, and now it looks strange on the wall.\n3. Don't hold the bowl too loosely, or the contents might terberlik onto the floor.\n\nNotes:\n- Terbalik can be used both figuratively and literally, depending on the context.\n- When pronounced, the stress falls on the first syllable ""ter-"".\n- Alternate spellings for terbalik include ""terbalak"" and ""terberlik"", but ""terbalik"" is the most commonly used spelling.\n\nUsage Tip:\nTerbalik is often used in colloquial conversations among locals in Singapore. It adds a touch of informality and familiarity to the language, making it easier to relate to others in casual settings.",Yes,,"Upside-down, reversed","You wear your shirt tombalek! Come here, I change for you.",tombalek,,Adj,"t@r\bAleIk
t@UmbAleIk",Malay,CC-By-NC 4.0,Red-Dot Baby-Talk Quiz 1.0,
terok,"Sure, I can do that for you!\n\nTerok (pronounced ""teh-rok"") is a Singlish slang that originated from the Malay word ""teruk,"" which means terrible or awful. It is used to describe something that is extremely bad or unpleasant, such as a bad smell, a poorly made meal, or an unpleasant experience. For example, ""This food is so terok, I can't even swallow it.""\n\nAlternate spellings for terok include ""teruk"" or ""terrible"", but its meaning may vary depending on the context.\n\nOverall, terok is a versatile word in Singlish that can be used in various situations to express dissatisfaction or discomfort towards something.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
terror,"Sure, here's the dictionary entry for 'terror':\n\nWord: Terror\nPronunciation: teh-ruh\nAlternate spellings: tereh\n\nDefinition:\n1. (adj.) Used to describe something or someone intimidating or fearful.\n- Example: ""That haunted house is terror, man! I don't dare to go in.""\n- Example: ""Don't be so terror lah, just tell me the truth.""\n\n2. (n.) A person who is feared or viewed as an authority figure.\n- Example: ""He's a real terror when it comes to enforcing rules.""\n- Example: ""My boss is a terror. I don't know how to talk to him.""\n\n3. (n.) A situation that is dangerous or risky.\n- Example: ""Driving in that heavy rain was a real terror.""\n- Example: ""It's a terror to be caught in a sudden storm without any shelter.""\n\nNote: This Singlish word comes from the English word ""terror"", but it is used in a slightly different context in Singlish. It is often used to express fear or worry, or to describe someone or something that is intimidating or scary.",,,,,,,,,,,http://www.mysmu.edu/faculty/jacklee/,
